item_id	item_ttle	item_add1	item_add2
111347120	Hooters	"112  Bypass Rd"	"Williamsburg, VA 23185"
713921599	"Embassy Suites Williamsburg"	"3006 Mooretown Road"	"Williamsburg, VA 23185"
711170092	"Rocco's Smokehouse Grill"	"207  Bypass Rd"	"Williamsburg, VA 23185"
983179	Applebee's	"1640  Richmond Rd"	"Williamsburg, VA 23185"
688625069	Arby's	"1993 Richmond Rd"	"Williamsburg, VA 23185"
63816159	"Outback Steakhouse"	"3026 Richmond Rd"	"Williamsburg, VA 23185"
91824730	"Texas Roadhouse"	"270 S Marlin Dr"	"Greenwood, IN 46142"
5767318	"Golden Corral"	"160 S Marlin Dr"	"Greenwood, IN 46142"
897167340	McDonald's	"121  Marlin Dr"	"Greenwood, IN 46142"
704287628	Chick-Fil-A	"155 S Marlin Dr"	"Greenwood, IN 46142"
8722648	McDonald's	"121 N Marlin Dr"	"Greenwood, IN 46142"
888539244	"Bob Evans Restaurant"	"159 S Marlin Dr"	"Greenwood, IN 46142"
690045553	"New Oriental Garden"	"3100  Meridian Parke Dr"	"Greenwood, IN 46142"
695703070	Luceros's	"4800 W Smith Valley Rd"	"Greenwood, IN 46142"
698222030	"Luca Pizza di Roma"	"250 S State Road 135"	"Greenwood, IN 46142"
91824823	"Strange Brew"	"4800 W Smith Valley Rd, Ste G"	"Greenwood, IN 46142"
684313881	Subway	"515  Jefferson St"	"Lafayette, LA"
49713381	"Church's Chicken"	"212 SW Evangeline Trwy"	"Lafayette, LA"
72774760	"Burger King"	"312  Jefferson Blvd"	"Lafayette, LA"
704297049	McDonald's	"1522  Johnston St"	"Lafayette, LA"
704297113	KFC	"1231 NW Evangeline Trwy"	"Lafayette, LA"
49713418	"Wendy's Old Fashioned Hamburgers"	"241  Donlon Ave"	"Lafayette, LA"
12367998	"Sonic Drive-In"	"616 W Pinhook Rd"	"Lafayette, LA"
1000000280260	"Panera Bread"	"2622 Johnston St"	"Lafayette, LA 70503"
897813271	"Broaddus Burgers"	"1940  Moss St"	"Lafayette, LA 70501"
49720319	"Checkers Drive-In Restaurant"	"2448 W Congress St"	"Lafayette, LA"
1000000237962	"Lona's Lil Eats"	"2199 California Ave"	"Saint Louis, MO 63104"
134130199	"P.F. Chang's"	"25 The Boulevard Saint Louis"	"Saint Louis, MO 63117"
154523589	"Pei Wei"	"8885 Ladue Rd. Suite 1"	"Saint Louis, MO 63124"
889794174	"Pei Wei"	"11430 Olive Blvd."	"Saint Louis, MO 63141"
694705712	"HuHot Mongolian Grill"	"12675  Olive Blvd"	"Saint Louis, MO 63141"
65424317	"The Pizza Shop"	"210 S Main St"	"Zelienople, PA 16063"
65424346	"Fisher's Bar & Restaurant"	"131 S Main St"	"Zelienople, PA 16063"
7677436	"Kountry Kitchen"	"111 S Main St"	"Zelienople, PA 16063"
7435701	"Kaufman House"	"105 S Main St"	"Zelienople, PA 16063"
65424791	"Vocelli Pizza"	"109 W New Castle St"	"Zelienople, PA 16063"
65424345	"88 Chinese Restaurant"	"105 N Main St"	"Zelienople, PA 16063"
156588153	"Herbe Z Town Cafe"	"105 N Main St"	"Zelienople, PA 16063"
65424315	"Nino's Trattoria"	"109 N Main St"	"Zelienople, PA 16063"
697968856	"Goodfello's Pizza Pasta & Grille"	"124 N Main St"	"Zelienople, PA 16063"
153172907	"L J's Restaurant"	"124 N Main St"	"Zelienople, PA 16063"
710453549	"Charleston At Heritage"	"1437  Heritage Lndg"	"Saint Charles, MO 63303"
713780860	"Chevys Fresh Mex"	"940  Hemsath Rd"	"Saint Charles, MO 63303"
66704820	"Spiro's St Charles"	"2275  Bluestone Dr"	"Saint Charles, MO 63303"
53458815	"Parrot's Restaurant & Sports Bar"	"2951 N Saint Peters Pkwy"	"Saint Peters, MO 63376"
32568875	Subway	"2955 N Saint Peters Pkwy"	"Saint Peters, MO 63376"
149961830	"China King Restaurant"	"2967 N Saint Peters Pkwy"	"Saint Peters, MO 63376"
50714	"South 94 Bistro"	"3004 S Saint Peters Pkwy, Ste A"	"Saint Charles, MO 63303"
92020850	Subway	"2100  Collier Corporate Pkwy"	"Saint Charles, MO 63303"
688592488	"White Castle"	"2000 S Old Highway 94"	"Saint Charles, MO 63303"
4247876	"Domino's Pizza"	"1966 S Old Highway 94"	"Saint Charles, MO 63303"
895098630	Cheddars	"1003  Old Airport Rd"	"Bristol, VA 24201"
56861162	"Young's Corner Cafe"	"200 W Market St"	"Greensboro, NC 27401"
10956814	Quiznos	"121 N Greene St"	"Greensboro, NC"
12422594	"Southeastern Soda Shop"	"102 N Elm St"	"Greensboro, NC 27401"
8983002	"Midori Japanese Hibachi"	"114 N Elm St"	"Greensboro, NC 27401"
713277860	"Asian Cafe"	"114 N Elm St"	"Greensboro, NC 27401"
699141070	"Broadway Cafe"	"114 N Elm St, Ste 101"	"Greensboro, NC 27401"
689012599	"Taste Of Caribbean"	"114 N Elm St"	"Greensboro, NC 27401"
710750535	Subway	"106 N Elm St"	"Greensboro, NC"
708887009	"Nico's Restaura Nt And Bar"	"201 N Elm St"	"Greensboro, NC 27401"
897837911	"B Christopher's Steakhouse"	"201 N Elm St"	"Greensboro, NC 27401"
7907624	"Laughing Horse Lodge"	"22360  Mt Highway 83"	"Bigfork, MT 59911"
895380118	"Rocky Mountain Roadhouse"	"82616  Swan Hwy"	"Bigfork, MT 59911"
897241508	"Buzz N Bagels"	"11  Swan Way"	"Bigfork, MT 59911"
112800800	"Swan Bar & Grill"	"5162  Po Box"	"Bigfork, MT 59911"
4503974	"Echo Lake Cafe"	"1195  Swan Hwy"	"Bigfork, MT 59911"
895317855	Pollywogs	"1189  Swan Hwy"	"Bigfork, MT 59911"
895106778	"Sake Tome Sushi"	"859  Electric Ave"	"Bigfork, MT 59911"
694345578	"River Street Diner and Pub"	"260  River St"	"Bigfork, MT 59911"
149799359	"Invite American Kitchen & Bar"	"459  Electric Ave, Ste G"	"Bigfork, MT 59911"
896640702	Owneys	"435  Bridge St"	"Bigfork, MT 59911"
895353153	"Korner Pocket Bar and Grill"	"81-980  Halekii St"	"Kealakekua, HI 96750"
714071341	"Amici Italian Bar & Grill LLC"	"79-7384  Mamalahoa Hwy"	"Kealakekua, HI 96750"
13569845	"The Vista Restaurant & Lounge"	"78-7000  Alii Dr"	"Kailua Kona, HI 96740"
711977615	"Creasian Restaurant"	"501 W Chestnut Expy"	"Springfield, MO 65802"
53549869	"Pappy's Place"	"943 N Main Ave"	"Springfield, MO 65802"
712651484	"Route 66 Cafe"	"1131 N Grant Ave"	"Springfield, MO 65802"
697698597	"Qdoba Mexican Grill"	"722 W Olive St"	"Springfield, MO"
713604660	"Andy's Frozen Custard Llc"	"338 N Boonville Ave"	"Springfield, MO 65806"
712651463	"Harbell's Grill And Sports Bar"	"315  Park Central  W"	"Springfield, MO 65806"
713139526	"Fcb Desserts Llc"	"540 W Mcdaniel St"	"Springfield, MO 65806"
13518547	"The Riksha"	"222  Park Central  N"	"Springfield, MO 65806"
159389245	"Springfield Brewing"	"301 S Market Ave"	"Springfield, MO 65806"
53559421	Casper's	"601 W Walnut St"	"Springfield, MO 65806"
684943764	"Van Der Valk Golf Resort Inverness"	"4555 E Windmill Dr"	"Inverness, FL 34453"
43673638	"Lakeside Vacations"	"4543 E Windmill Dr"	"Inverness, FL 34453"
714512889	"Human Services Congregate Dining"	"1081 N Paul Dr"	"Inverness, FL 34453"
897047280	"Simply Pizza"	"111 N Florida Ave"	"Inverness, FL 34453"
713516925	"A Slice of Heaven"	"111 N Florida Ave, Ste D"	"Inverness, FL 34453"
6383991	"Sabina's Diner and Ice Cream Shop"	"2400 N Florida Ave"	"Hernando, FL 34442"
43672202	"Hernando Chicken King"	"2420 N Florida Ave"	"Hernando, FL 34442"
694718643	"Slow Pokes BBQ & More"	"2727 N Florida Ave"	"Hernando, FL 34442"
43672205	"Frank's Family Restaurant"	"2780 N Florida Ave, Ste 14"	"Hernando, FL 34442"
43672179	"Chef Anthony's Pizza Cafe"	"2780 N Florida Ave"	"Hernando, FL 34442"
704318634	Arby's	"S73W16770 Janesville Rd"	"Muskego, WI 53150"
64990154	Gasthaus	"2720 N Grandview Blvd"	"Waukesha, WI 53188"
704835752	Arby's	"1900 Silvernail Rd"	"Waukesha, WI 53188"
1017220	Arby's	"2330 E Moreland Blvd"	"Waukesha, WI 53186"
888022248	"Bonefish Grill"	"18355 West Bluemound Road"	"Brookfield, WI 53045"
713991368	"Hom Wood Fired Grill"	"17800 W Bluemound Rd"	"Brookfield, WI 53045"
10026670	"Outback Steakhouse"	"1260 S Moorland Rd"	"Brookfield, WI 53005"
1000000167186	"Panera Bread"	"1301 Capitol Drive"	"Pewaukee, WI 53072"
2732268	"Bluemound Restaurant Corp/Champps"	"1240 S Moorland Rd"	"Brookfield, WI 53005"
65195340	Arby's	"95 N Moorland Rd, Unit Fc4"	"Brookfield, WI 53005"
51884420	"Alpha Koney Island"	"422 N Main St"	"Adrian, MI 49221"
387229	Subway	"523 N Main St"	"Adrian, MI 49221"
715412828	"Blue Sky Internet Cafe"	"227 N Winter St"	"Adrian, MI 49221"
51884445	"Lotus Palace"	"134 N Main St"	"Adrian, MI 49221"
698218624	"Breakin Away Cafe"	"143 E Maumee St"	"Adrian, MI 49221"
51884424	"Big Boy"	"126 N Broad St"	"Adrian, MI 49221"
51884448	Mandy's	"111 S Main St"	"Adrian, MI 49221"
4578376	"El Chapulin Restaurant"	"118 S Winter St"	"Adrian, MI 49221"
689234082	"El Chapulin Restaurant"	"116 S Winter St"	"Adrian, MI 49221"
8725119	McDonald's	"1235 N Main St"	"Adrian, MI 49221"
711902977	"Super Star & Gyros"	"1159 W 47th St"	"Chicago, IL 60609"
695834325	"Beijing 88"	"4640 S Bishop St"	"Chicago, IL 60609"
685418815	"Little Caesars Pizza"	"1406 W 47th St"	"Chicago, IL 60609"
888484833	"Domino's Pizza"	"4323 S Ashland Ave"	"Chicago, IL 60609"
11961488	"See Thru Chinese Kitchen"	"4318 S Ashland Ave"	"Chicago, IL 60609"
704440747	"Dunkin' Donuts"	"4302 S Ashland Ave"	"Chicago, IL 60609"
1427760	"Bar Be Que Select"	"1421 W 47th St"	"Chicago, IL 60609"
158354451	"El Rio Grande"	"4400 S Ashland Ave"	"Chicago, IL 60609"
12882744	Subway	"4316 S Ashland Ave"	"Chicago, IL 60609"
715662423	"Vista Hermosa Restaurant"	"4248 S Ashland Ave"	"Chicago, IL 60609"
47546	"8 01 Steak & Chop House"	"801  Grand Ave"	"Des Moines, IA 50309"
48760045	"Long John Silver's Seafood"	"3006 SE 14th St"	"Des Moines, IA"
713356573	"New China Buffet & Grill"	"1201 E Army Post Rd"	"Des Moines, IA 50315"
895322237	"Southwest Foodservice Excellence"		"Scottsdale, AZ 85253"
712201888	"Wendy's Old Fashioned Hamburgers"	"4815 N Pima Rd"	"Scottsdale, AZ"
710131220	"Restaurant Development Group"	"8232 E Sells Dr"	"Scottsdale, AZ 85251"
150591210	"L'ecole Restaurant"	"8100 E Camelback Rd"	"Scottsdale, AZ 85251"
39033082	"Randy's Restaurant & Ice Cream"	"7904 E Chaparral Rd, Ste 101"	"Scottsdale, AZ 85250"
4247505	"Domino's Pizza"	"7908 E Chaparral Rd, Ste 110"	"Scottsdale, AZ"
154832407	Subway	"7908 E Chaparral Rd, Ste 104"	"Scottsdale, AZ"
39031927	"Casella's Italian Delicatessen"	"5905 N Granite Reef Rd"	"Scottsdale, AZ 85250"
157340672	"Silver Mine Subs"	"8402 E Indian School Rd"	"Scottsdale, AZ 85251"
702828555	"Buzzberry and Bistro"	"5959 N Granite Reef Rd"	"Scottsdale, AZ 85250"
8211888	"Long John Silver's Seafood"	"306  Blowing Rock Blvd"	"Lenoir, NC"
697686840	"Time Out"	"1000  Hurricane St"	"Franklin, IN 46131"
690045167	"White Castle"	"1129 N Morton St"	"Franklin, IN 46131"
13103632	"Taco Bell"	"1579 N Morton St"	"Franklin, IN 46131"
1016328	Arby's	"1400 N Morton St"	"Franklin, IN 46131"
695204935	"Rally's Hamburgers"	"1599 N Morton St"	"Franklin, IN 46131"
714219117	"Firehouse Subs"	"1707 N Morton St"	"Franklin, IN 46131"
4245960	"Domino's Pizza"	"1713 N Morton St"	"Franklin, IN 46131"
708405802	"Lilia's Bakery & Cafe"	"1709 N Morton St"	"Franklin, IN 46131"
888602304	"Papa Murphy's Take 'N' Bake Pizza"	"1141 N Morton St"	"Franklin, IN 46131"
15102922	"Yeas Wok"	"6969  Coal Creek Pkwy SE"	"Renton, WA 98059"
685809912	"Puerto Vallarta LLC"	"11901 E State Route 69"	"Dewey, AZ 86327"
694546774	"Shang Hai"	"32785  Eiland Blvd"	"Wesley Chapel, FL 33545"
712736543	"Wild Wild Wings"	"5130  Gall Blvd"	"Zephyrhills, FL 33542"
692489532	"China Taste"	"38931  County Road 54"	"Zephyrhills, FL 33542"
2860160	"China Wok"	"7254  Gall Blvd"	"Zephyrhills, FL 33541"
135677411	"Hong KONG Restaurant"	"7821  Gall Blvd"	"Zephyrhills, FL 33541"
689703737	"Gonna China"	"5430  Bruce B Downs Blvd"	"Wesley Chapel, FL 33544"
697744684	"China Gourmet"	"30032  County Line Rd"	"Wesley Chapel, FL 33543"
111400357	"China Wok At Village Market"	"5313  Village Market"	"Wesley Chapel, FL 33544"
699196774	"China Wok"	"6431 E County Line Rd"	"Tampa, FL 33647"
6566313	"Domino's Pizza"	"25061  Highway 82"	"Waynesville, GA 31566"
45142584	"Hooterville Diner"	"25801  Highway 82"	"Waynesville, GA 31566"
44995010	"Lena Court's Apartment & Restaurant"	"4380 S Us Highway 301"	"Jesup, GA 31546"
111471201	"Screven Chill and Grill"	"207 W Jl Tyre St"	"Screven, GA 31560"
706163081	Betty's	"515 W Jl Tyre St"	"Screven, GA 31560"
895457216	"Pizza Hut"	"10198  Main St N"	"Nahunta, GA 31553"
898462812	"Pizza Hut"	"10198  Main St N"	"Nahunta, GA 31553"
114359289	"Jerry J's Restaurant"	"13754  Cleveland St E"	"Nahunta, GA 31553"
689847846	"Michael's Deli"	"13249  Cleveland St W"	"Nahunta, GA 31553"
91751610	"Lang Bar-B-Q Grills Inc"	"12300  Highway 82"	"Nahunta, GA 31553"
41150466	"Viognier Restaurant"	"222 E 4th Ave"	"San Mateo, CA 94401"
150891454	"Richmond Restaurant"	"615  Balboa St"	"San Francisco, CA 94118"
41560523	"Fishermen's Grotto"	"2851  Taylor St"	"San Francisco, CA 94133"
10645979	Postino	"3565  Mt Diablo Blvd"	"Lafayette, CA 94549"
13712912	"Togo's Sandwiches"	"242  Redwood Shores Pkwy"	"Redwood City, CA 94065"
41853063	Subway	"969  Edgewater Blvd"	"San Mateo, CA 94404"
17683791	Wendy's	"698  Ralston Ave"	"Belmont, CA 94002"
41136851	Quizno's	"1480  El Camino Real"	"Belmont, CA 94002"
12888520	Subway	"1602  El Camino Real, Ste A"	"Belmont, CA 94002"
7175596	"Jersey Joe's Hoagies & Ch"	"21  El Camino Real"	"San Carlos, CA 94070"
698565156	"Mr Pickels Sandwich Shop"	"891  Ralston Ave"	"Belmont, CA 94002"
13712862	Togo's	"933 E Hillsdale Blvd"	"San Mateo, CA 94404"
714282560	"Bullpen Deli"	"1163  San Carlos Ave"	"San Carlos, CA 94070"
896366035	"Gherkins Sandwich Shop"	"635  Laurel St"	"San Carlos, CA 94070"
41560834	"Pizzelle Di North Beach"	"314  Columbus Ave"	"San Francisco, CA 94133"
704525037	IHOP	"1960 N Central Expy"	"McKinney, TX"
151469325	"Logan's Roadhouse"	"11674 University Dr"	"Orlando, FL 32817"
712292597	"H and D Roadhouse"	"1811 E Merritt Island Cswy"	"Merritt Island, FL 32952"
8193780	"Logan's Roadhouse"	"4649 W 1st Street"	"Sanford, FL 32771"
711682951	"Texas Roadhouse"	"5549 S Williamson Blvd"	"Port Orange, FL 32128"
1727535	"Big Daddys Roadhouse"	"3001  Corrine Dr"	"Orlando, FL 32803"
697893630	"Texas Roadhouse"	"2518  Enterprise Rd"	"Orange City, FL 32763"
698507507	"The Phoenix Grill"	"381  Chestnut St"	"Oneonta, NY 13820"
8405090	"Magic Wok"	"6258  Furnace Rd"	"Ontario, NY 14519"
6166292	"Happiness Garden"	"212 E Main St"	"Palmyra, NY 14522"
56490467	"New China Wok"	"1503  Canandaigua Rd, Ste 700"	"Macedon, NY 14502"
56111752	"China Chef"	"980  Ridge Rd, Ste 6"	"Webster, NY 14580"
56487169	"Great Wall Chinese Restaurant"	"510 W Union St, Ste 3"	"Newark, NY 14513"
144940088	"Ling Ling II Cafe"	"210 S Main St"	"Newark, NY 14513"
2857165	"China King"	"120  Packetts Lndg"	"Fairport, NY 14450"
5907584	"Great Wall Chinese Restrnt"	"18  Geneva St"	"Lyons, NY 14489"
685613120	"Aurora Chinese Restaurant"	"1694  Penfield Rd, Ste 7"	"Rochester, NY 14625"
2854368	"China Chef"	"452 W Commercial St"	"East Rochester, NY 14445"
158153854	"The Grill On 21st"	"1671 N 21st St"	"Newark, OH 43055"
159723148	"Lee's Famous Recipe Chicken"	"1635 North 21st Street"	"Newark, OH 43055"
12376226	"Sopapilla Express"	"1655 N 21st St"	"Newark, OH 43055"
898004678	"Pizza Hut / Wingstreet"	"1825 N 21st St"	"Newark, OH 43055"
704061857	"Pizza Hut"	"1825 N 21st St"	"Newark, OH 43055"
715687634	"Red Oak Pub and Restaurant"	"250 Goosepond Rd"	"Newark, OH 43055"
68501893	"Steak 'n Shake"	"1445 N 21st St"	"Newark, OH 43055"
12887896	Subway	"1865 N 21st St"	"Newark, OH 43055"
695524901	Subway	"1315 N 21st St"	"Newark, OH 43055"
58090599	"Wendy's Old Fashioned Hamburgers"	"1415 N 21st St"	"Newark, OH 43055"
691016792	"Panera Bread"	"631 Promenade Place"	"Columbia, SC 29229"
693954442	"Blue Fin Seafood Restaurant & Bar"	"461  Town Center Pl"	"Columbia, SC 29204"
9842759	O'Charley's	"10136 Two Notch Rd"	"Columbia, SC 29229"
111385606	"Pizza Hut"	"4611  Hard Scrabble Rd, Ste 116"	"Columbia, SC 29229"
142889359	"Lowe's Home Improvement"	"10106 Two Notch Road"	"Columbia, SC 29223"
29468891	"Comfort Inn"	"436 Mcnulty Street"	"Blythewood, SC 29016"
10529706	"Pizza Hut"	"9702  Two Notch Rd"	"Columbia, SC 29223"
1000000066931	"Lowe's Home Improvement"	"1051 Sams Crossing Drive"	"Columbia, SC 29229"
698034703	Sury'scafe	"3100 SW 21st St"	"Fort Lauderdale, FL 33312"
154231557	"Diane Restaurant"	"2460 W State Road 84"	"Fort Lauderdale, FL 33312"
702759825	"Marina 84 Sports Bar & Grill"	"2440 West State Road 84"	"Fort Lauderdale, FL 33312"
712308000	"Paul Barnett Seafood Inc"	"2525  Marina Bay Dr W"	"Fort Lauderdale, FL 33312"
43459744	Rendezvous	"2525  Marina Bay Dr W"	"Fort Lauderdale, FL 33312"
14417146	"Vila's Restaurant & Lounge"	"2027 S State Road 7"	"Fort Lauderdale, FL 33317"
704520152	"Little Caesars Pizza"	"3229  Davie Blvd"	"Fort Lauderdale, FL 33312"
4320363	"Dragon Inn"	"3257  Davie Blvd"	"Fort Lauderdale, FL 33312"
152495688	"Las Carnitas"	"3221  Davie Blvd"	"Fort Lauderdale, FL 33312"
699219623	"Las Panteras"	"3215  Davie Blvd"	"Fort Lauderdale, FL 33312"
685334412	"Viva El Taco"	"6775 E Lake Mead Blvd, Ste 2"	"Las Vegas, NV 89156"
145126372	"Texmex Tacos"	"5871 E Lake Mead Blvd"	"Las Vegas, NV 89156"
34672251	"Rubalcabas Taco Sho"	"5185 E Lake Mead Blvd"	"Las Vegas, NV 89156"
113980074	"Taqueria Arandas"	"2040 N Nellis Blvd"	"Las Vegas, NV 89115"
701453435	"El Potrero"	"1602 N Nellis Blvd"	"Las Vegas, NV 89115"
686433142	"Roberto's Taco Shop"	"3435 N Nellis Blvd"	"Las Vegas, NV 89115"
698547743	"Taco Planet"	"3665 N Nellis Blvd, Ste 2"	"Las Vegas, NV 89115"
13109741	"Tacos Los Toritos"	"861 N Nellis Blvd"	"Las Vegas, NV 89110"
710462112	"Taco Diaz"	"1000 N Nellis Blvd"	"Las Vegas, NV 89110"
693726709	"El Pollo Rico"	"1000 N Nellis Blvd, Ste M"	"Las Vegas, NV 89110"
714636564	"Reunion On The Square"	"106 N Trinity St"	"Decatur, TX 76234"
898096809	"Roosters Roadhouse"	"106 N Trinity St"	"Decatur, TX 76234"
703824984	"Peppermill Diner"	"112 W Walnut St"	"Decatur, TX 76234"
706636683	"South Beach Taco Factory"	"113 N State St"	"Decatur, TX 76234"
888788626	"Sweetie Pies Ribys"	"201 W Main St"	"Decatur, TX 76234"
713979254	"Xchan Thai House"	"113 N State St"	"Decatur, TX 76234"
61913808	"La Cena Restaurant"	"302 E Walnut St"	"Decatur, TX 76234"
61913810	"Primo's Taqueria"	"312 E Walnut St"	"Decatur, TX 76234"
15110687	Yesterday's	"100 S Highway 287"	"Decatur, TX 76234"
704514439	Whataburger	"500 S Highway 287"	"Decatur, TX"
897206216	"Taqueria San Jose"	"1338  Division Ave S"	"Grand Rapids, MI 49507"
52751033	Harveys	"406  Highway 12  E"	"Starkville, MS 39759"
6235492	Harveys	"200  Main St"	"Columbus, MS 39701"
685675930	"Fresh Cuts Butcher & Seafood Market"	"1528  Zoo Pkwy, Ste S"	"Asheboro, NC 27205"
897770586	"Fresh Cuts Butcher & Seafood Market"	"1214 S Fayetteville St"	"Asheboro, NC 27203"
57090250	"Allred's Seafood"	"1350 N Fayetteville St"	"Asheboro, NC 27203"
57092364	"Captain Dale's Seafood"	"2346  Poole Town Rd"	"Asheboro, NC 27205"
8674704	"Mayflower Seafood"	"2200 N Fayetteville St"	"Asheboro, NC 27203"
57190744	"Captain Tom's Seafood"	"1037  Randolph St"	"Thomasville, NC 27360"
57146897	"Dry Dock Seafood Restaurant"	"408 N 2nd Ave"	"Siler City, NC 27344"
56954115	"Skipper's Seafood Restaurant"	"2409 S Main St"	"High Point, NC 27263"
57190773	"Todd Seafood Mkt"	"624  National Hwy"	"Thomasville, NC 27360"
1921772	"Bonnie Kay Seafood"	"222  Spur Rd"	"Greensboro, NC 27406"
12886676	Subway	"6107  3m Dr"	"Menomonie, WI 54751"
702638171	"Los Cabos Mexican Grill"	"2401  State Highway 25  N"	"Menomonie, WI 54751"
714138733	"Red Cedar Wine Bar & Grille"	"1705  Plaza Dr"	"Menomonie, WI 54751"
80154161	"Caribou Coffee"	"2321  State Highway 25  N"	"Boyceville, WI 54751"
2854124	"China Buffet"	"2421  State Highway 25  N, Ste 4"	"Menomonie, WI 54751"
